,alpha,beta,gamma,tau,scf_cs,nn_scf_cs
380,4.0,0.6,20.0,0.6,5.8527134,6.019583
381,13.0,0.6,20.0,0.6,12.56324646,12.266392
382,22.0,0.6,20.0,0.6,12.86502733,12.660326
383,31.0,0.6,20.0,0.6,12.82113194,12.628056
384,40.0,0.6,20.0,0.6,12.76838826,12.604298
385,4.0,0.7,20.0,0.6,5.287980844,5.188516
386,13.0,0.7,20.0,0.6,11.91169149,11.721128
387,22.0,0.7,20.0,0.6,12.16607614,12.202703
388,31.0,0.7,20.0,0.6,12.08693216,12.121876
389,40.0,0.7,20.0,0.6,11.99843589,12.050569
390,4.0,0.2,26.0,0.6,9.485658466,9.226776
391,13.0,0.2,26.0,0.6,12.36345469,11.843671
392,22.0,0.2,26.0,0.6,12.72771253,11.972928
393,31.0,0.2,26.0,0.6,12.72570955,11.802714
394,40.0,0.2,26.0,0.6,12.72116652,11.650336
395,4.0,0.3,26.0,0.6,9.693150654,9.57482
396,13.0,0.3,26.0,0.6,14.46651942,14.22139
397,22.0,0.3,26.0,0.6,15.07366428,14.60298
398,31.0,0.3,26.0,0.6,15.07959371,14.485585
399,40.0,0.3,26.0,0.6,15.08140654,14.353591
400,4.0,0.4,26.0,0.6,8.831579733,9.052706
401,13.0,0.4,26.0,0.6,15.62033882,15.658138
402,22.0,0.4,26.0,0.6,16.44241911,16.263645
403,31.0,0.4,26.0,0.6,16.44975419,16.257526
404,40.0,0.4,26.0,0.6,16.4516918,16.231655
405,4.0,0.5,26.0,0.6,7.768200861,8.060073
406,13.0,0.5,26.0,0.6,16.13121492,15.882333
407,22.0,0.5,26.0,0.6,17.11282869,16.641003
408,31.0,0.5,26.0,0.6,17.11320726,16.686796
409,40.0,0.5,26.0,0.6,17.10727213,16.714502
410,4.0,0.6,26.0,0.6,6.951896924,7.126622
411,13.0,0.6,26.0,0.6,15.98874472,15.575001
412,22.0,0.6,26.0,0.6,17.03376692,16.486578
413,31.0,0.6,26.0,0.6,17.01741114,16.540094
414,40.0,0.6,26.0,0.6,16.9940186,16.575981
415,4.0,0.7,26.0,0.6,6.343623641,6.3707905
416,13.0,0.7,26.0,0.6,15.09748618,15.010739
417,22.0,0.7,26.0,0.6,16.07512306,16.145359
418,31.0,0.7,26.0,0.6,16.03048598,16.18545
419,40.0,0.7,26.0,0.6,15.97564079,16.20779
420,4.0,0.2,32.0,0.6,11.22048643,10.81713
421,13.0,0.2,32.0,0.6,14.81887554,14.552494
422,22.0,0.2,32.0,0.6,15.55395019,15.059037
423,31.0,0.2,32.0,0.6,15.56581581,14.939063
424,40.0,0.2,32.0,0.6,15.57079944,14.795119
425,4.0,0.3,32.0,0.6,11.34968357,11.246851
426,13.0,0.3,32.0,0.6,17.38508326,17.215551
427,22.0,0.3,32.0,0.6,18.61654613,18.122194
